ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6060,"2020",2068,465,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04120917442161688
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6060,"2020",4998,979,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.09959548054121914
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6060,"2020",17512,1427,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3489627961660323
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6060,"2020",5356,885,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.10672937050395552
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6060,"2020",4091,679,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.08152163083115796
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6060,"2020",2952,748,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.05882470159217265
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6060,"2020",1573,420,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.03134527628878305
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6060,"2020",840,313,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.016738736225414982
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6060,"2020",1033,385,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.020584660143873425
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6060,"2020",2359,598,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04700795089970707
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6060,"2020",2400,631,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.047824960644042805
3,"Foreign Born",0,"Under 5 Years",2020,"2020",57,53,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0011358428152960167
3,"Foreign Born",1,"5 to 17 Years",2020,"2020",149,99,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0029691329733176576
3,"Foreign Born",2,"18 to 24 Years",2020,"2020",1995,491,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.03975449853536058
3,"Foreign Born",3,"25 to 34 Years",2020,"2020",1452,247,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.028934101189645896
3,"Foreign Born",4,"35 to 44 Years",2020,"2020",608,158,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.012115656696490843
3,"Foreign Born",5,"45 to 54 Years",2020,"2020",263,132,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.005240818603909691
3,"Foreign Born",6,"55 to 59 Years",2020,"2020",79,69,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.001574238287866409
3,"Foreign Born",7,"60 & 61 Years",2020,"2020",67,53,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0013351134846461949
3,"Foreign Born",8,"62 to 64 Years",2020,"2020",27,30.000000000000004,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0005380308072454815
3,"Foreign Born",9,"65 to 74 Years",2020,"2020",183,99,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0036466532491082637
3,"Foreign Born",10,"75 Years & Over",2020,"2020",121,71,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.002411175099137158
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6057,"2019",2204,479,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04412235746316464
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6057,"2019",5534,860,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11078635490070468
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6057,"2019",17308,1391,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.3464926329276105
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6057,"2019",5568,873,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.11146700832799487
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6057,"2019",3899,629,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.078054932735426
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6057,"2019",2853,591,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.05711483023702755
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6057,"2019",1313,336,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.026285233824471493
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6057,"2019",679,272,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.01359304932735426
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6057,"2019",1014,332,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.020299487508007686
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6057,"2019",2248,472,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04500320307495195
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6057,"2019",2070,414,"Stillwater, OK","16000US4070300","stillwater-ok","Native Born",0.04143978219090327
3,"Foreign Born",0,"Under 5 Years",2019,"2019",42,38,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.0008408071748878924
3,"Foreign Born",1,"5 to 17 Years",2019,"2019",184,115,"Stillwater, OK","16000US4070300","stillwater-ok","Foreign Born",0.003683536194746957
