ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
0,"< $10,000",2020,"2020",7145751,24748,"United States","01000US","united-states",0.05840216265856758
1,"$10,000-$14,999",2020,"2020",5020097,17141,"United States","01000US","united-states",0.04102921044349112
2,"$15,000-$19,999",2020,"2020",5030224,16026,"United States","01000US","united-states",0.04111197832908402
3,"$20,000-$24,999",2020,"2020",5329476,20676,"United States","01000US","united-states",0.04355776240131123
4,"$25,000-$29,999",2020,"2020",5187269,18811,"United States","01000US","united-states",0.04239550578962872
5,"$30,000-$34,999",2020,"2020",5382215,20154,"United States","01000US","united-states",0.043988797803531404
6,"$35,000-$39,999",2020,"2020",4960174,20596,"United States","01000US","united-states",0.04053946026985796
7,"$40,000-$44,999",2020,"2020",5128434,16706,"United States","01000US","united-states",0.041914647830819794
8,"$45,000-$49,999",2020,"2020",4601774,18581,"United States","01000US","united-states",0.037610260092461545
9,"$50,000-$59,999",2020,"2020",9122890,26253,"United States","01000US","united-states",0.0745613030311607
10,"$60,000-$74,999",2020,"2020",11911889,32548,"United States","01000US","united-states",0.09735576833684828
11,"$75,000-$99,999",2020,"2020",15613243,47722,"United States","01000US","united-states",0.1276069033630953
12,"$100,000-$124,999",2020,"2020",11455250,46295,"United States","01000US","united-states",0.09362366164096066
13,"$125,000-$149,999",2020,"2020",7673688,38871,"United States","01000US","united-states",0.06271698730715612
14,"$150,000-$199,999",2020,"2020",8688154,41715,"United States","01000US","united-states",0.07100820936955186
15,"$200,000+",2020,"2020",10103691,51548,"United States","01000US","united-states",0.0825773813324737
0,"< $10,000",2020,"2020",3372,534,"Stillwater, OK","16000US4070300","stillwater-ok",0.1708120156020465
1,"$10,000-$14,999",2020,"2020",1404,439,"Stillwater, OK","16000US4070300","stillwater-ok",0.07112101717238235
2,"$15,000-$19,999",2020,"2020",1522,372,"Stillwater, OK","16000US4070300","stillwater-ok",0.07709842459855124
3,"$20,000-$24,999",2020,"2020",886,180,"Stillwater, OK","16000US4070300","stillwater-ok",0.044881211691403675
4,"$25,000-$29,999",2020,"2020",1282,427,"Stillwater, OK","16000US4070300","stillwater-ok",0.06494098576566537
5,"$30,000-$34,999",2020,"2020",1440,406,"Stillwater, OK","16000US4070300","stillwater-ok",0.07294463299731523
6,"$35,000-$39,999",2020,"2020",905,269,"Stillwater, OK","16000US4070300","stillwater-ok",0.04584367559900714
7,"$40,000-$44,999",2020,"2020",615,190,"Stillwater, OK","16000US4070300","stillwater-ok",0.031153437009270046
8,"$45,000-$49,999",2020,"2020",897,291,"Stillwater, OK","16000US4070300","stillwater-ok",0.04543842763791095
9,"$50,000-$59,999",2020,"2020",1417,450,"Stillwater, OK","16000US4070300","stillwater-ok",0.07177954510916366
10,"$60,000-$74,999",2020,"2020",914,218,"Stillwater, OK","16000US4070300","stillwater-ok",0.04629957955524036
11,"$75,000-$99,999",2020,"2020",1872,336,"Stillwater, OK","16000US4070300","stillwater-ok",0.09482802289650981
12,"$100,000-$124,999",2020,"2020",1239,275,"Stillwater, OK","16000US4070300","stillwater-ok",0.06276277797477331
13,"$125,000-$149,999",2020,"2020",563,181,"Stillwater, OK","16000US4070300","stillwater-ok",0.028519325262144776
14,"$150,000-$199,999",2020,"2020",840,231.99999999999997,"Stillwater, OK","16000US4070300","stillwater-ok",0.04255103591510055
15,"$200,000+",2020,"2020",573,213,"Stillwater, OK","16000US4070300","stillwater-ok",0.02902588521351502
0,"< $10,000",2019,"2019",7302871,18046,"United States","01000US","united-states",0.06047623386946217
1,"$10,000-$14,999",2019,"2019",5189583,15224,"United States","01000US","united-states",0.04297576051842968
2,"$15,000-$19,999",2019,"2019",5300624,15337,"United States","01000US","united-states",0.04389530866396025
3,"$20,000-$24,999",2019,"2019",5459520,16244,"United States","01000US","united-states",0.04521115166008083
4,"$25,000-$29,999",2019,"2019",5285952,16670,"United States","01000US","united-states",0.043773807503206794
5,"$30,000-$34,999",2019,"2019",5506182,18565,"United States","01000US","united-states",0.04559756708831677
6,"$35,000-$39,999",2019,"2019",5093804,14176,"United States","01000US","united-states",0.04218259941729792
7,"$40,000-$44,999",2019,"2019",5081209,16048.000000000002,"United States","01000US","united-states",0.042078298223207834
8,"$45,000-$49,999",2019,"2019",4647032,14255,"United States","01000US","united-states",0.038482809573231476
9,"$50,000-$59,999",2019,"2019",9090005,22946,"United States","01000US","united-states",0.07527577417902911
10,"$60,000-$74,999",2019,"2019",11699885,30719,"United States","01000US","united-states",0.09688860470160468
11,"$75,000-$99,999",2019,"2019",15374617,51444,"United States","01000US","united-states",0.12731964365047788
12,"$100,000-$124,999",2019,"2019",11019036,49867,"United States","01000US","united-states",0.09125038606761957
13,"$125,000-$149,999",2019,"2019",7267775,40108,"United States","01000US","united-states",0.06018559832299249
14,"$150,000-$199,999",2019,"2019",8173563,49077,"United States","01000US","united-states",0.06768657251850442
15,"$200,000+",2019,"2019",9264390,54033.00000000001,"United States","01000US","united-states",0.07671988404257814
0,"< $10,000",2019,"2019",3499,516,"Stillwater, OK","16000US4070300","stillwater-ok",0.18827011030400861
1,"$10,000-$14,999",2019,"2019",1384,313,"Stillwater, OK","16000US4070300","stillwater-ok",0.07446865751950497
2,"$15,000-$19,999",2019,"2019",1367,320,"Stillwater, OK","16000US4070300","stillwater-ok",0.07355394135055152
3,"$20,000-$24,999",2019,"2019",1076,263,"Stillwater, OK","16000US4070300","stillwater-ok",0.05789615281140705
4,"$25,000-$29,999",2019,"2019",1054,276,"Stillwater, OK","16000US4070300","stillwater-ok",0.05671240247511434
5,"$30,000-$34,999",2019,"2019",1027,262,"Stillwater, OK","16000US4070300","stillwater-ok",0.05525961797148238
6,"$35,000-$39,999",2019,"2019",742,189,"Stillwater, OK","16000US4070300","stillwater-ok",0.03992467043314501
7,"$40,000-$44,999",2019,"2019",695,198,"Stillwater, OK","16000US4070300","stillwater-ok",0.03739574926015604
8,"$45,000-$49,999",2019,"2019",684,247,"Stillwater, OK","16000US4070300","stillwater-ok",0.036803874092009685
9,"$50,000-$59,999",2019,"2019",1211,283,"Stillwater, OK","16000US4070300","stillwater-ok",0.06516007532956686
10,"$60,000-$74,999",2019,"2019",1027,229,"Stillwater, OK","16000US4070300","stillwater-ok",0.05525961797148238
11,"$75,000-$99,999",2019,"2019",1809,299,"Stillwater, OK","16000US4070300","stillwater-ok",0.0973365617433414
12,"$100,000-$124,999",2019,"2019",1115,219.99999999999997,"Stillwater, OK","16000US4070300","stillwater-ok",0.05999461931665322
13,"$125,000-$149,999",2019,"2019",466,152,"Stillwater, OK","16000US4070300","stillwater-ok",0.025073984396018295
14,"$150,000-$199,999",2019,"2019",866,186,"Stillwater, OK","16000US4070300","stillwater-ok",0.046596717783158464
15,"$200,000+",2019,"2019",563,151,"Stillwater, OK","16000US4070300","stillwater-ok",0.030293247242399783
0,"< $10,000",2018,"2018",7584305,18464,"United States","01000US","united-states",0.06334500034945256
1,"$10,000-$14,999",2018,"2018",5507051,15243,"United States","01000US","united-states",0.04599553255300955
2,"$15,000-$19,999",2018,"2018",5488289,17043,"United States","01000US","united-states",0.045838830139728906
3,"$20,000-$24,999",2018,"2018",5658672,16600,"United States","01000US","united-states",0.04726188883720228
4,"$25,000-$29,999",2018,"2018",5558387,15816,"United States","01000US","united-states",0.046424296815251044
5,"$30,000-$34,999",2018,"2018",5559047,15601,"United States","01000US","united-states",0.04642980921226444
6,"$35,000-$39,999",2018,"2018",5192595,16659,"United States","01000US","united-states",0.04336915934809658
7,"$40,000-$44,999",2018,"2018",5276041,16523,"United States","01000US","united-states",0.04406611007715618
8,"$45,000-$49,999",2018,"2018",4656185,15063,"United States","01000US","united-states",0.03888900043604731
9,"$50,000-$59,999",2018,"2018",9140757,23730,"United States","01000US","united-states",0.07634466907109629
10,"$60,000-$74,999",2018,"2018",11769465,34020,"United States","01000US","united-states",0.09829994502302712
11,"$75,000-$99,999",2018,"2018",14937330,47276,"United States","01000US","united-states",0.12475832315154628
12,"$100,000-$124,999",2018,"2018",10600942,51888,"United States","01000US","united-states",0.08854030457563697
13,"$125,000-$149,999",2018,"2018",6932183,35577,"United States","01000US","united-states",0.05789840131132241
14,"$150,000-$199,999",2018,"2018",7513313,42617,"United States","01000US","united-states",0.06275206688161229
15,"$200,000+",2018,"2018",8355566,47620,"United States","01000US","united-states",0.06978666221754978
0,"< $10,000",2018,"2018",3436,479,"Stillwater, OK","16000US4070300","stillwater-ok",0.18581008003460955
1,"$10,000-$14,999",2018,"2018",1446,313,"Stillwater, OK","16000US4070300","stillwater-ok",0.0781959766385464
2,"$15,000-$19,999",2018,"2018",1580,403,"Stillwater, OK","16000US4070300","stillwater-ok",0.0854423534501406
3,"$20,000-$24,999",2018,"2018",1290,290,"Stillwater, OK","16000US4070300","stillwater-ok",0.06975989617131732
4,"$25,000-$29,999",2018,"2018",1094,238.99999999999997,"Stillwater, OK","16000US4070300","stillwater-ok",0.05916071814838849
5,"$30,000-$34,999",2018,"2018",892,212,"Stillwater, OK","16000US4070300","stillwater-ok",0.048237075492104695
6,"$35,000-$39,999",2018,"2018",698,191,"Stillwater, OK","16000US4070300","stillwater-ok",0.03774605234696085
7,"$40,000-$44,999",2018,"2018",719,231,"Stillwater, OK","16000US4070300","stillwater-ok",0.038881678563703226
8,"$45,000-$49,999",2018,"2018",613,196,"Stillwater, OK","16000US4070300","stillwater-ok",0.033149470041098854
9,"$50,000-$59,999",2018,"2018",1086,246.00000000000003,"Stillwater, OK","16000US4070300","stillwater-ok",0.05872809863724854
10,"$60,000-$74,999",2018,"2018",1202,223,"Stillwater, OK","16000US4070300","stillwater-ok",0.06500108154877784
11,"$75,000-$99,999",2018,"2018",1618,227.00000000000003,"Stillwater, OK","16000US4070300","stillwater-ok",0.08749729612805537
12,"$100,000-$124,999",2018,"2018",1074,206,"Stillwater, OK","16000US4070300","stillwater-ok",0.058079169370538614
13,"$125,000-$149,999",2018,"2018",390,123.00000000000001,"Stillwater, OK","16000US4070300","stillwater-ok",0.02109020116807268
14,"$150,000-$199,999",2018,"2018",789,145,"Stillwater, OK","16000US4070300","stillwater-ok",0.042667099286177804
15,"$200,000+",2018,"2018",565,155,"Stillwater, OK","16000US4070300","stillwater-ok",0.03055375297425914
0,"< $10,000",2017,"2017",7942251,17662,"United States","01000US","united-states",0.06683938094618261
1,"$10,000-$14,999",2017,"2017",5768114,16409,"United States","01000US","united-states",0.04854255663627467
2,"$15,000-$19,999",2017,"2017",5727180,16801,"United States","01000US","united-states",0.04819806951043956
3,"$20,000-$24,999",2017,"2017",5910725,17864,"United States","01000US","united-states",0.04974272406438996
4,"$25,000-$29,999",2017,"2017",5619002,16113.000000000002,"United States","01000US","united-states",0.04728767892318714
5,"$30,000-$34,999",2017,"2017",5711286,15891,"United States","01000US","united-states",0.04806431081649264
6,"$35,000-$39,999",2017,"2017",5332778,16488,"United States","01000US","united-states",0.044878911563412165
7,"$40,000-$44,999",2017,"2017",5354520,15415.000000000002,"United States","01000US","united-states",0.04506188510838473
8,"$45,000-$49,999",2017,"2017",4725195,16890,"United States","01000US","united-states",0.03976569220111494
9,"$50,000-$59,999",2017,"2017",9181800,20965,"United States","01000US","united-states",0.07727101900602984
10,"$60,000-$74,999",2017,"2017",11818514,30722.999999999996,"United States","01000US","united-states",0.0994607397152007
11,"$75,000-$99,999",2017,"2017",14636046,49159,"United States","01000US","united-states",0.12317216544023252
12,"$100,000-$124,999",2017,"2017",10273788,47842,"United States","01000US","united-states",0.08646083206037174
13,"$125,000-$149,999",2017,"2017",6428069,37952,"United States","01000US","united-states",0.054096521583030695
14,"$150,000-$199,999",2017,"2017",6931136,37236,"United States","01000US","united-states",0.05833016854967192
15,"$200,000+",2017,"2017",7465517,42206,"United States","01000US","united-states",0.06282734387558418
0,"< $10,000",2017,"2017",3543,446,"Stillwater, OK","16000US4070300","stillwater-ok",0.19082242688641138
1,"$10,000-$14,999",2017,"2017",1837,333,"Stillwater, OK","16000US4070300","stillwater-ok",0.09893897775623418
