ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,"Full time",2020,"2020",5073994,"Doctoral Universities","DOC","doctoral-universities",0.764408530291042
2,"Part time",2020,"2020",1563810,"Doctoral Universities","DOC","doctoral-universities",0.23559146970895797
1,"Full time",2020,"2020",1273398,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7624398112278928
2,"Part time",2020,"2020",396764,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.23756018877210713
1,"Full time",2020,"2020",15918,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7681690956471383
1,"Full time",2020,"2020",15801,"Rowan University","184782","rowan-university",0.8029779449131009
1,"Full time",2020,"2020",17743,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.6900132223691374
1,"Full time",2020,"2020",19264,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7851640513552068
1,"Full time",2020,"2020",8301,"South Dakota State University","219356","south-dakota-state-university",0.7278386672512056
2,"Part time",2020,"2020",4804,"University of Nevada-Reno","182290","university-of-nevada-reno",0.2318309043528617
2,"Part time",2020,"2020",3877,"Rowan University","184782","rowan-university",0.19702205508689907
2,"Part time",2020,"2020",7971,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.3099867776308626
2,"Part time",2020,"2020",5271,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.21483594864479316
2,"Part time",2020,"2020",3104,"South Dakota State University","219356","south-dakota-state-university",0.2721613327487944
1,"Full time",2019,"2019",5208993,"Doctoral Universities","DOC","doctoral-universities",0.7762226976822367
2,"Part time",2019,"2019",1501701,"Doctoral Universities","DOC","doctoral-universities",0.22377730231776327
1,"Full time",2019,"2019",1295766,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.7685713794254959
2,"Part time",2019,"2019",390175,"Doctoral Universities: Higher Research Activity","16","doctoral-universities-higher-research-activity",0.23142862057450408
1,"Full time",2019,"2019",16427,"University of Nevada-Reno","182290","university-of-nevada-reno",0.7824989282141667
1,"Full time",2019,"2019",15863,"Rowan University","184782","rowan-university",0.8085941482312162
1,"Full time",2019,"2019",19320,"Ohio University-Main Campus","204857","ohio-university-main-campus",0.7059597325245734
1,"Full time",2019,"2019",18884,"Oklahoma State University-Main Campus","207388","oklahoma-state-university-main-campus",0.7842518377009012
1,"Full time",2019,"2019",8474,"South Dakota State University","219356","south-dakota-state-university",0.7361014593467686
1,"Full time",2019,"2019",10104,"Arizona State University-Downtown Phoenix","448886","arizona-state-university-downtown-phoenix",0.8847635726795097
