ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $10,000",2020,"2020",1031883,8097,"United States","01000US","united-states",0.013094733269632246
1,"$10,000 to $14,999",2020,"2020",544313,7029.999999999999,"United States","01000US","united-states",0.006907404764099551
2,"$15,000 to $19,999",2020,"2020",488049,6423,"United States","01000US","united-states",0.006193407079592113
3,"$20,000 to $24,999",2020,"2020",524602,5422,"United States","01000US","united-states",0.006657269538034463
4,"$25,000 to $29,999",2020,"2020",483311,5903,"United States","01000US","united-states",0.006133281225952196
5,"$30,000 to $34,999",2020,"2020",576666,6702,"United States","01000US","united-states",0.00731796866085181
6,"$35,000 to $39,999",2020,"2020",426388,6370,"United States","01000US","united-states",0.005410920743312908
7,"$40,000 to $49,999",2020,"2020",1097262,8972,"United States","01000US","united-states",0.013924401523140915
8,"$50,000 to $59,999",2020,"2020",1364028,10293,"United States","01000US","united-states",0.017309697739288206
9,"$60,000 to $69,999",2020,"2020",1581124,13137,"United States","01000US","united-states",0.020064675012781502
10,"$70,000 to $79,999",2020,"2020",1809271,15535.000000000002,"United States","01000US","united-states",0.022959890954188412
11,"$80,000 to $89,999",2020,"2020",2134595,15347,"United States","01000US","united-states",0.027088296021632922
12,"$90,000 to $99,999",2020,"2020",1809410,14988,"United States","01000US","united-states",0.022961654882777682
13,"$100,000 to $124,999",2020,"2020",5007346,28159.999999999996,"United States","01000US","united-states",0.06354389040110163
14,"$125,000 to $149,999",2020,"2020",4722731,27091.000000000004,"United States","01000US","united-states",0.05993208798790518
15,"$150,000 to $174,999",2020,"2020",6147474,32335.000000000004,"United States","01000US","united-states",0.07801226719695858
16,"$175,000 to $199,999",2020,"2020",4579828,27350.000000000004,"United States","01000US","united-states",0.058118629806667335
17,"$200,000 to $249,999",2020,"2020",8500978,44969,"United States","01000US","united-states",0.1078785477045477
18,"$250,000 to $299,999",2020,"2020",7229480,37339,"United States","01000US","united-states",0.09174306803982712
19,"$300,000 to $399,999",2020,"2020",10176033,43678,"United States","01000US","united-states",0.1291352196692606
20,"$400,000 to $499,999",2020,"2020",5997303,30722.999999999996,"United States","01000US","united-states",0.07610657712372941
21,"$500,000 to $749,999",2020,"2020",6925193,31817.000000000004,"United States","01000US","united-states",0.08788162531578128
22,"$750,000 to $999,999",2020,"2020",2757469,15897,"United States","01000US","united-states",0.034992650382145614
23,"$1,000,000 to $1,499,999",2020,"2020",1551648,10201,"United States","01000US","united-states",0.019690620630786956
24,"$1,500,000 to $1,999,999",2020,"2020",565285,5601,"United States","01000US","united-states",0.007173542248805401
25,"$2,000,000 or More",2020,"2020",769706,6252,"United States","01000US","united-states",0.009767672077198246
0,"Less Than $10,000",2020,"2020",77,60.00000000000001,"Stillwater, OK","16000US4070300","stillwater-ok",0.00995732574679943
1,"$10,000 to $14,999",2020,"2020",103,84,"Stillwater, OK","16000US4070300","stillwater-ok",0.013319539635329109
2,"$15,000 to $19,999",2020,"2020",51,51,"Stillwater, OK","16000US4070300","stillwater-ok",0.006595111858269753
3,"$20,000 to $24,999",2020,"2020",0,23,"Stillwater, OK","16000US4070300","stillwater-ok",0
4,"$25,000 to $29,999",2020,"2020",41,61,"Stillwater, OK","16000US4070300","stillwater-ok",0.005301952670373723
5,"$30,000 to $34,999",2020,"2020",28,32,"Stillwater, OK","16000US4070300","stillwater-ok",0.003620845726108884
6,"$35,000 to $39,999",2020,"2020",0,23,"Stillwater, OK","16000US4070300","stillwater-ok",0
7,"$40,000 to $49,999",2020,"2020",76,67,"Stillwater, OK","16000US4070300","stillwater-ok",0.009828009828009828
8,"$50,000 to $59,999",2020,"2020",97,73,"Stillwater, OK","16000US4070300","stillwater-ok",0.01254364412259149
9,"$60,000 to $69,999",2020,"2020",115,77,"Stillwater, OK","16000US4070300","stillwater-ok",0.014871330660804346
10,"$70,000 to $79,999",2020,"2020",41,30.000000000000004,"Stillwater, OK","16000US4070300","stillwater-ok",0.005301952670373723
11,"$80,000 to $89,999",2020,"2020",136,89,"Stillwater, OK","16000US4070300","stillwater-ok",0.017586964955386006
12,"$90,000 to $99,999",2020,"2020",117,67,"Stillwater, OK","16000US4070300","stillwater-ok",0.015129962498383552
13,"$100,000 to $124,999",2020,"2020",638,189,"Stillwater, OK","16000US4070300","stillwater-ok",0.08250355618776671
14,"$125,000 to $149,999",2020,"2020",674,200,"Stillwater, OK","16000US4070300","stillwater-ok",0.08715892926419243
15,"$150,000 to $174,999",2020,"2020",1384,367,"Stillwater, OK","16000US4070300","stillwater-ok",0.17897323160481055
16,"$175,000 to $199,999",2020,"2020",699,242,"Stillwater, OK","16000US4070300","stillwater-ok",0.09039182723393249
17,"$200,000 to $249,999",2020,"2020",1413,299,"Stillwater, OK","16000US4070300","stillwater-ok",0.18272339324970904
18,"$250,000 to $299,999",2020,"2020",1077,345,"Stillwater, OK","16000US4070300","stillwater-ok",0.13927324453640244
19,"$300,000 to $399,999",2020,"2020",378,128,"Stillwater, OK","16000US4070300","stillwater-ok",0.048881417302469934
20,"$400,000 to $499,999",2020,"2020",290,151,"Stillwater, OK","16000US4070300","stillwater-ok",0.03750161644898487
21,"$500,000 to $749,999",2020,"2020",188,120.00000000000001,"Stillwater, OK","16000US4070300","stillwater-ok",0.024311392732445362
22,"$750,000 to $999,999",2020,"2020",31,37,"Stillwater, OK","16000US4070300","stillwater-ok",0.004008793482477693
23,"$1,000,000 to $1,499,999",2020,"2020",59,66,"Stillwater, OK","16000US4070300","stillwater-ok",0.007629639208586577
24,"$1,500,000 to $1,999,999",2020,"2020",20,31,"Stillwater, OK","16000US4070300","stillwater-ok",0.00258631837579206
25,"$2,000,000 or More",2020,"2020",0,23,"Stillwater, OK","16000US4070300","stillwater-ok",0
