Year,Household Income Bucket,Household_Income_Min,Household_Income_Max,Geography,Household Counts
2020,"< $10,000",0,9999.0,United States,7145751
2020,"$10,000-$14,999",10000,14999.0,United States,5020097
2020,"$15,000-$19,999",15000,19999.0,United States,5030224
2020,"$20,000-$24,999",20000,24999.0,United States,5329476
2020,"$25,000-$29,999",25000,29999.0,United States,5187269
2020,"$30,000-$34,999",30000,34999.0,United States,5382215
2020,"$35,000-$39,999",35000,39999.0,United States,4960174
2020,"$40,000-$44,999",40000,44999.0,United States,5128434
2020,"$45,000-$49,999",45000,49999.0,United States,4601774
2020,"$50,000-$59,999",50000,59999.0,United States,9122890
2020,"$60,000-$74,999",60000,74999.0,United States,11911889
2020,"$75,000-$99,999",75000,99999.0,United States,15613243
2020,"$100,000-$124,999",100000,124999.0,United States,11455250
2020,"$125,000-$149,999",125000,149999.0,United States,7673688
2020,"$150,000-$199,999",150000,199999.0,United States,8688154
2020,"$200,000+",200000,inf,United States,10103691
2020,"< $10,000",0,9999.0,"Stillwater, OK",3372
2020,"$10,000-$14,999",10000,14999.0,"Stillwater, OK",1404
2020,"$15,000-$19,999",15000,19999.0,"Stillwater, OK",1522
2020,"$20,000-$24,999",20000,24999.0,"Stillwater, OK",886
2020,"$25,000-$29,999",25000,29999.0,"Stillwater, OK",1282
2020,"$30,000-$34,999",30000,34999.0,"Stillwater, OK",1440
2020,"$35,000-$39,999",35000,39999.0,"Stillwater, OK",905
2020,"$40,000-$44,999",40000,44999.0,"Stillwater, OK",615
2020,"$45,000-$49,999",45000,49999.0,"Stillwater, OK",897
2020,"$50,000-$59,999",50000,59999.0,"Stillwater, OK",1417
2020,"$60,000-$74,999",60000,74999.0,"Stillwater, OK",914
2020,"$75,000-$99,999",75000,99999.0,"Stillwater, OK",1872
2020,"$100,000-$124,999",100000,124999.0,"Stillwater, OK",1239
2020,"$125,000-$149,999",125000,149999.0,"Stillwater, OK",563
2020,"$150,000-$199,999",150000,199999.0,"Stillwater, OK",840
2020,"$200,000+",200000,inf,"Stillwater, OK",573
2019,"< $10,000",0,9999.0,United States,7302871
2019,"$10,000-$14,999",10000,14999.0,United States,5189583
2019,"$15,000-$19,999",15000,19999.0,United States,5300624
2019,"$20,000-$24,999",20000,24999.0,United States,5459520
2019,"$25,000-$29,999",25000,29999.0,United States,5285952
2019,"$30,000-$34,999",30000,34999.0,United States,5506182
2019,"$35,000-$39,999",35000,39999.0,United States,5093804
2019,"$40,000-$44,999",40000,44999.0,United States,5081209
2019,"$45,000-$49,999",45000,49999.0,United States,4647032
2019,"$50,000-$59,999",50000,59999.0,United States,9090005
2019,"$60,000-$74,999",60000,74999.0,United States,11699885
2019,"$75,000-$99,999",75000,99999.0,United States,15374617
2019,"$100,000-$124,999",100000,124999.0,United States,11019036
2019,"$125,000-$149,999",125000,149999.0,United States,7267775
2019,"$150,000-$199,999",150000,199999.0,United States,8173563
2019,"$200,000+",200000,inf,United States,9264390
2019,"< $10,000",0,9999.0,"Stillwater, OK",3499
2019,"$10,000-$14,999",10000,14999.0,"Stillwater, OK",1384
2019,"$15,000-$19,999",15000,19999.0,"Stillwater, OK",1367
2019,"$20,000-$24,999",20000,24999.0,"Stillwater, OK",1076
2019,"$25,000-$29,999",25000,29999.0,"Stillwater, OK",1054
2019,"$30,000-$34,999",30000,34999.0,"Stillwater, OK",1027
2019,"$35,000-$39,999",35000,39999.0,"Stillwater, OK",742
2019,"$40,000-$44,999",40000,44999.0,"Stillwater, OK",695
2019,"$45,000-$49,999",45000,49999.0,"Stillwater, OK",684
2019,"$50,000-$59,999",50000,59999.0,"Stillwater, OK",1211
2019,"$60,000-$74,999",60000,74999.0,"Stillwater, OK",1027
2019,"$75,000-$99,999",75000,99999.0,"Stillwater, OK",1809
2019,"$100,000-$124,999",100000,124999.0,"Stillwater, OK",1115
2019,"$125,000-$149,999",125000,149999.0,"Stillwater, OK",466
2019,"$150,000-$199,999",150000,199999.0,"Stillwater, OK",866
2019,"$200,000+",200000,inf,"Stillwater, OK",563
2018,"< $10,000",0,9999.0,United States,7584305
2018,"$10,000-$14,999",10000,14999.0,United States,5507051
2018,"$15,000-$19,999",15000,19999.0,United States,5488289
2018,"$20,000-$24,999",20000,24999.0,United States,5658672
2018,"$25,000-$29,999",25000,29999.0,United States,5558387
2018,"$30,000-$34,999",30000,34999.0,United States,5559047
2018,"$35,000-$39,999",35000,39999.0,United States,5192595
2018,"$40,000-$44,999",40000,44999.0,United States,5276041
2018,"$45,000-$49,999",45000,49999.0,United States,4656185
2018,"$50,000-$59,999",50000,59999.0,United States,9140757
2018,"$60,000-$74,999",60000,74999.0,United States,11769465
2018,"$75,000-$99,999",75000,99999.0,United States,14937330
2018,"$100,000-$124,999",100000,124999.0,United States,10600942
2018,"$125,000-$149,999",125000,149999.0,United States,6932183
2018,"$150,000-$199,999",150000,199999.0,United States,7513313
2018,"$200,000+",200000,inf,United States,8355566
2018,"< $10,000",0,9999.0,"Stillwater, OK",3436
2018,"$10,000-$14,999",10000,14999.0,"Stillwater, OK",1446
2018,"$15,000-$19,999",15000,19999.0,"Stillwater, OK",1580
2018,"$20,000-$24,999",20000,24999.0,"Stillwater, OK",1290
2018,"$25,000-$29,999",25000,29999.0,"Stillwater, OK",1094
2018,"$30,000-$34,999",30000,34999.0,"Stillwater, OK",892
2018,"$35,000-$39,999",35000,39999.0,"Stillwater, OK",698
2018,"$40,000-$44,999",40000,44999.0,"Stillwater, OK",719
2018,"$45,000-$49,999",45000,49999.0,"Stillwater, OK",613
2018,"$50,000-$59,999",50000,59999.0,"Stillwater, OK",1086
2018,"$60,000-$74,999",60000,74999.0,"Stillwater, OK",1202
2018,"$75,000-$99,999",75000,99999.0,"Stillwater, OK",1618
2018,"$100,000-$124,999",100000,124999.0,"Stillwater, OK",1074
2018,"$125,000-$149,999",125000,149999.0,"Stillwater, OK",390
2018,"$150,000-$199,999",150000,199999.0,"Stillwater, OK",789
2018,"$200,000+",200000,inf,"Stillwater, OK",565
2017,"< $10,000",0,9999.0,United States,7942251
2017,"$10,000-$14,999",10000,14999.0,United States,5768114
2017,"$15,000-$19,999",15000,19999.0,United States,5727180
2017,"$20,000-$24,999",20000,24999.0,United States,5910725
2017,"$25,000-$29,999",25000,29999.0,United States,5619002
2017,"$30,000-$34,999",30000,34999.0,United States,5711286
2017,"$35,000-$39,999",35000,39999.0,United States,5332778
2017,"$40,000-$44,999",40000,44999.0,United States,5354520
2017,"$45,000-$49,999",45000,49999.0,United States,4725195
2017,"$50,000-$59,999",50000,59999.0,United States,9181800
2017,"$60,000-$74,999",60000,74999.0,United States,11818514
2017,"$75,000-$99,999",75000,99999.0,United States,14636046
2017,"$100,000-$124,999",100000,124999.0,United States,10273788
2017,"$125,000-$149,999",125000,149999.0,United States,6428069
2017,"$150,000-$199,999",150000,199999.0,United States,6931136
2017,"$200,000+",200000,inf,United States,7465517
2017,"< $10,000",0,9999.0,"Stillwater, OK",3543
2017,"$10,000-$14,999",10000,14999.0,"Stillwater, OK",1837
2017,"$15,000-$19,999",15000,19999.0,"Stillwater, OK",1448
2017,"$20,000-$24,999",20000,24999.0,"Stillwater, OK",1436
2017,"$25,000-$29,999",25000,29999.0,"Stillwater, OK",1140
2017,"$30,000-$34,999",30000,34999.0,"Stillwater, OK",709
2017,"$35,000-$39,999",35000,39999.0,"Stillwater, OK",659
2017,"$40,000-$44,999",40000,44999.0,"Stillwater, OK",727
