Year,Value Bucket,Value_Min,Value_Max,Geography,Property Counts
2020,"Less Than $10,000",0,9999.0,United States,1031883
2020,"$10,000 to $14,999",10000,14999.0,United States,544313
2020,"$15,000 to $19,999",15000,19999.0,United States,488049
2020,"$20,000 to $24,999",20000,24999.0,United States,524602
2020,"$25,000 to $29,999",25000,29999.0,United States,483311
2020,"$30,000 to $34,999",30000,34999.0,United States,576666
2020,"$35,000 to $39,999",35000,39999.0,United States,426388
2020,"$40,000 to $49,999",40000,49999.0,United States,1097262
2020,"$50,000 to $59,999",50000,59999.0,United States,1364028
2020,"$60,000 to $69,999",60000,69999.0,United States,1581124
2020,"$70,000 to $79,999",70000,79999.0,United States,1809271
2020,"$80,000 to $89,999",80000,89999.0,United States,2134595
2020,"$90,000 to $99,999",90000,99999.0,United States,1809410
2020,"$100,000 to $124,999",100000,124999.0,United States,5007346
2020,"$125,000 to $149,999",125000,149999.0,United States,4722731
2020,"$150,000 to $174,999",150000,174999.0,United States,6147474
2020,"$175,000 to $199,999",175000,199999.0,United States,4579828
2020,"$200,000 to $249,999",200000,249999.0,United States,8500978
2020,"$250,000 to $299,999",250000,299999.0,United States,7229480
2020,"$300,000 to $399,999",300000,399999.0,United States,10176033
2020,"$400,000 to $499,999",400000,499999.0,United States,5997303
2020,"$500,000 to $749,999",500000,749999.0,United States,6925193
2020,"$750,000 to $999,999",750000,999999.0,United States,2757469
2020,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,1551648
2020,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,565285
2020,"$2,000,000 or More",2000000,inf,United States,769706
2020,"Less Than $10,000",0,9999.0,"Stillwater, OK",77
2020,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",103
2020,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",51
2020,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",0
2020,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",41
2020,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",28
2020,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2020,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",76
2020,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",97
2020,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",115
2020,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",41
2020,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",136
2020,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",117
2020,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",638
2020,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",674
2020,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",1384
2020,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",699
2020,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",1413
2020,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",1077
2020,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",378
2020,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",290
2020,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",188
2020,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",31
2020,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",59
2020,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",20
2020,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
2019,"Less Than $10,000",0,9999.0,United States,1028776
2019,"$10,000 to $14,999",10000,14999.0,United States,555266
2019,"$15,000 to $19,999",15000,19999.0,United States,493678
2019,"$20,000 to $24,999",20000,24999.0,United States,541349
2019,"$25,000 to $29,999",25000,29999.0,United States,496197
2019,"$30,000 to $34,999",30000,34999.0,United States,605943
2019,"$35,000 to $39,999",35000,39999.0,United States,448984
2019,"$40,000 to $49,999",40000,49999.0,United States,1165696
2019,"$50,000 to $59,999",50000,59999.0,United States,1451180
2019,"$60,000 to $69,999",60000,69999.0,United States,1685990
2019,"$70,000 to $79,999",70000,79999.0,United States,1937078
2019,"$80,000 to $89,999",80000,89999.0,United States,2288047
2019,"$90,000 to $99,999",90000,99999.0,United States,1946546
2019,"$100,000 to $124,999",100000,124999.0,United States,5290207
2019,"$125,000 to $149,999",125000,149999.0,United States,4952877
2019,"$150,000 to $174,999",150000,174999.0,United States,6272151
2019,"$175,000 to $199,999",175000,199999.0,United States,4582862
2019,"$200,000 to $249,999",200000,249999.0,United States,8274180
2019,"$250,000 to $299,999",250000,299999.0,United States,6877112
2019,"$300,000 to $399,999",300000,399999.0,United States,9450290
2019,"$400,000 to $499,999",400000,499999.0,United States,5498064
2019,"$500,000 to $749,999",500000,749999.0,United States,6314185
2019,"$750,000 to $999,999",750000,999999.0,United States,2506929
2019,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,1400103
2019,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,508010
2019,"$2,000,000 or More",2000000,inf,United States,702681
2019,"Less Than $10,000",0,9999.0,"Stillwater, OK",60
2019,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",91
2019,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",63
2019,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",0
2019,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",18
2019,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",28
2019,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2019,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",54
2019,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",136
2019,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",114
2019,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",79
2019,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",185
2019,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",139
2019,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",616
2019,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",639
2019,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",948
2019,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",733
2019,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",1200
2019,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",745
2019,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",484
2019,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",288
2019,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",171
2019,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",37
2019,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",73
2019,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",21
2019,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
2018,"Less Than $10,000",0,9999.0,United States,1258863
2018,"$10,000 to $14,999",10000,14999.0,United States,596848
2018,"$15,000 to $19,999",15000,19999.0,United States,527481
2018,"$20,000 to $24,999",20000,24999.0,United States,568572
2018,"$25,000 to $29,999",25000,29999.0,United States,522549
2018,"$30,000 to $34,999",30000,34999.0,United States,641527
2018,"$35,000 to $39,999",35000,39999.0,United States,478620
2018,"$40,000 to $49,999",40000,49999.0,United States,1242034
2018,"$50,000 to $59,999",50000,59999.0,United States,1544961
2018,"$60,000 to $69,999",60000,69999.0,United States,1796514
2018,"$70,000 to $79,999",70000,79999.0,United States,2058463
2018,"$80,000 to $89,999",80000,89999.0,United States,2433919
2018,"$90,000 to $99,999",90000,99999.0,United States,2091716
2018,"$100,000 to $124,999",100000,124999.0,United States,5546278
2018,"$125,000 to $149,999",125000,149999.0,United States,5155384
2018,"$150,000 to $174,999",150000,174999.0,United States,6388594
2018,"$175,000 to $199,999",175000,199999.0,United States,4577979
2018,"$200,000 to $249,999",200000,249999.0,United States,8070035
2018,"$250,000 to $299,999",250000,299999.0,United States,6570089
2018,"$300,000 to $399,999",300000,399999.0,United States,8880612
2018,"$400,000 to $499,999",400000,499999.0,United States,5088888
2018,"$500,000 to $749,999",500000,749999.0,United States,5786379
2018,"$750,000 to $999,999",750000,999999.0,United States,2275524
2018,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,1253950
2018,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,452783
2018,"$2,000,000 or More",2000000,inf,United States,636248
2018,"Less Than $10,000",0,9999.0,"Stillwater, OK",89
2018,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",81
2018,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",88
2018,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",34
2018,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",0
2018,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",23
2018,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2018,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",47
2018,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",146
2018,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",62
2018,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",89
2018,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",100
2018,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",216
2018,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",732
2018,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",924
2018,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",835
2018,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",655
2018,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",947
2018,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",622
2018,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",482
2018,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",226
2018,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",203
2018,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",26
2018,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",84
2018,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",0
2018,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
2017,"Less Than $10,000",0,9999.0,United States,1476974
2017,"$10,000 to $14,999",10000,14999.0,United States,632158
2017,"$15,000 to $19,999",15000,19999.0,United States,562022
2017,"$20,000 to $24,999",20000,24999.0,United States,603519
2017,"$25,000 to $29,999",25000,29999.0,United States,552538
2017,"$30,000 to $34,999",30000,34999.0,United States,674950
2017,"$35,000 to $39,999",35000,39999.0,United States,506636
2017,"$40,000 to $49,999",40000,49999.0,United States,1314549
2017,"$50,000 to $59,999",50000,59999.0,United States,1633945
2017,"$60,000 to $69,999",60000,69999.0,United States,1907605
2017,"$70,000 to $79,999",70000,79999.0,United States,2194410
2017,"$80,000 to $89,999",80000,89999.0,United States,2572479
2017,"$90,000 to $99,999",90000,99999.0,United States,2231451
2017,"$100,000 to $124,999",100000,124999.0,United States,5826370
2017,"$125,000 to $149,999",125000,149999.0,United States,5331518
2017,"$150,000 to $174,999",150000,174999.0,United States,6499851
2017,"$175,000 to $199,999",175000,199999.0,United States,4590736
2017,"$200,000 to $249,999",200000,249999.0,United States,7895572
2017,"$250,000 to $299,999",250000,299999.0,United States,6310465
2017,"$300,000 to $399,999",300000,399999.0,United States,8377035
2017,"$400,000 to $499,999",400000,499999.0,United States,4713899
2017,"$500,000 to $749,999",500000,749999.0,United States,5308063
2017,"$750,000 to $999,999",750000,999999.0,United States,2045639
2017,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,1106944
2017,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,398918
2017,"$2,000,000 or More",2000000,inf,United States,564889
2017,"Less Than $10,000",0,9999.0,"Stillwater, OK",68
2017,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",88
2017,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",82
2017,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",88
2017,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",0
2017,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",28
2017,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2017,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",9
2017,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",94
2017,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",86
2017,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",119
2017,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",131
2017,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",266
2017,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",898
2017,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",963
2017,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",802
2017,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",688
2017,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",881
2017,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",493
2017,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",411
2017,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",146
2017,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",229
2017,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",27
2017,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",30
2017,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",0
2017,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
2016,"Less Than $10,000",0,9999.0,United States,1463996
2016,"$10,000 to $14,999",10000,14999.0,United States,672264
2016,"$15,000 to $19,999",15000,19999.0,United States,598938
2016,"$20,000 to $24,999",20000,24999.0,United States,632979
2016,"$25,000 to $29,999",25000,29999.0,United States,576582
2016,"$30,000 to $34,999",30000,34999.0,United States,711866
2016,"$35,000 to $39,999",35000,39999.0,United States,529927
2016,"$40,000 to $49,999",40000,49999.0,United States,1376361
2016,"$50,000 to $59,999",50000,59999.0,United States,1707922
2016,"$60,000 to $69,999",60000,69999.0,United States,1994300
2016,"$70,000 to $79,999",70000,79999.0,United States,2290767
2016,"$80,000 to $89,999",80000,89999.0,United States,2699481
2016,"$90,000 to $99,999",90000,99999.0,United States,2354130
2016,"$100,000 to $124,999",100000,124999.0,United States,6056463
2016,"$125,000 to $149,999",125000,149999.0,United States,5433927
2016,"$150,000 to $174,999",150000,174999.0,United States,6570071
2016,"$175,000 to $199,999",175000,199999.0,United States,4568510
2016,"$200,000 to $249,999",200000,249999.0,United States,7745477
2016,"$250,000 to $299,999",250000,299999.0,United States,6066474
2016,"$300,000 to $399,999",300000,399999.0,United States,7929212
2016,"$400,000 to $499,999",400000,499999.0,United States,4355190
2016,"$500,000 to $749,999",500000,749999.0,United States,4872014
2016,"$750,000 to $999,999",750000,999999.0,United States,1839171
2016,"$1,000,000 to $1,499,999",1000000,1499999.0,United States,985866
2016,"$1,500,000 to $1,999,999",1500000,1999999.0,United States,348313
2016,"$2,000,000 or More",2000000,inf,United States,500867
2016,"Less Than $10,000",0,9999.0,"Stillwater, OK",58
2016,"$10,000 to $14,999",10000,14999.0,"Stillwater, OK",112
2016,"$15,000 to $19,999",15000,19999.0,"Stillwater, OK",137
2016,"$20,000 to $24,999",20000,24999.0,"Stillwater, OK",92
2016,"$25,000 to $29,999",25000,29999.0,"Stillwater, OK",0
2016,"$30,000 to $34,999",30000,34999.0,"Stillwater, OK",5
2016,"$35,000 to $39,999",35000,39999.0,"Stillwater, OK",0
2016,"$40,000 to $49,999",40000,49999.0,"Stillwater, OK",9
2016,"$50,000 to $59,999",50000,59999.0,"Stillwater, OK",77
2016,"$60,000 to $69,999",60000,69999.0,"Stillwater, OK",99
2016,"$70,000 to $79,999",70000,79999.0,"Stillwater, OK",185
2016,"$80,000 to $89,999",80000,89999.0,"Stillwater, OK",185
2016,"$90,000 to $99,999",90000,99999.0,"Stillwater, OK",256
2016,"$100,000 to $124,999",100000,124999.0,"Stillwater, OK",865
2016,"$125,000 to $149,999",125000,149999.0,"Stillwater, OK",957
2016,"$150,000 to $174,999",150000,174999.0,"Stillwater, OK",745
2016,"$175,000 to $199,999",175000,199999.0,"Stillwater, OK",664
2016,"$200,000 to $249,999",200000,249999.0,"Stillwater, OK",813
2016,"$250,000 to $299,999",250000,299999.0,"Stillwater, OK",517
2016,"$300,000 to $399,999",300000,399999.0,"Stillwater, OK",372
2016,"$400,000 to $499,999",400000,499999.0,"Stillwater, OK",99
2016,"$500,000 to $749,999",500000,749999.0,"Stillwater, OK",233
2016,"$750,000 to $999,999",750000,999999.0,"Stillwater, OK",11
2016,"$1,000,000 to $1,499,999",1000000,1499999.0,"Stillwater, OK",29
2016,"$1,500,000 to $1,999,999",1500000,1999999.0,"Stillwater, OK",0
2016,"$2,000,000 or More",2000000,inf,"Stillwater, OK",0
2015,"Less Than $10,000",0,9999.0,United States,1460217
