Year,Millions Of Dollars,Thousands Of Tons,Origin,timeframe
2050,270976.1875,383315.25,Arkansas,Future
2050,434216.0625,443373.71875,Colorado,Future
2050,405574.90625,480448.71875,Kansas,Future
2050,614108.0,494009.46875,Missouri,Future
2050,117422.53125,187933.09375,New Mexico,Future
2050,311396.4375,447750.40625,Oklahoma,Future
2050,4504107.5,4042623.0,Texas,Future
2045,244943.59375,356804.5625,Arkansas,Future
2045,389489.09375,407463.375,Colorado,Future
2045,367242.09375,448442.3125,Kansas,Future
2045,553380.0625,456064.34375,Missouri,Future
2045,108156.8828125,180665.0,New Mexico,Future
2045,282546.625,414131.40625,Oklahoma,Future
2045,4052796.5,3793122.5,Texas,Future
2040,220002.84375,328719.53125,Arkansas,Future
2040,349728.40625,381039.5625,Colorado,Future
2040,332538.09375,421297.03125,Kansas,Future
2040,495819.3125,421100.46875,Missouri,Future
2040,100594.5859375,176989.171875,New Mexico,Future
2040,256751.53125,385504.84375,Oklahoma,Future
2040,3667133.75,3625157.5,Texas,Future
2035,198393.5625,302871.53125,Arkansas,Future
2035,314800.59375,355806.875,Colorado,Future
2035,302715.53125,397858.59375,Kansas,Future
2035,447928.96875,393000.0625,Missouri,Future
2035,92621.09375,169672.90625,New Mexico,Future
2035,233504.875,360707.125,Oklahoma,Future
2035,3320349.0,3424423.25,Texas,Future
2030,179796.015625,280348.28125,Arkansas,Future
2030,284314.46875,334899.6875,Colorado,Future
2030,278660.0,378337.15625,Kansas,Future
2030,406547.90625,369664.03125,Missouri,Future
2030,85810.0,164253.140625,New Mexico,Future
2030,213635.46875,341106.21875,Oklahoma,Future
2030,3018615.75,3243249.5,Texas,Future
2025,163658.609375,260409.578125,Arkansas,Future
2025,256705.34375,313744.9375,Colorado,Future
2025,257382.5625,359606.0625,Kansas,Future
2025,368163.15625,351067.625,Missouri,Future
2025,79211.3984375,157519.296875,New Mexico,Future
2025,196360.328125,322505.0625,Oklahoma,Future
2025,2727737.5,3025587.0,Texas,Future
2023,155182.453125,251264.28125,Arkansas,Future
2023,236543.421875,302104.59375,Colorado,Future
2023,244780.59375,351271.78125,Kansas,Future
2023,336538.34375,341652.9375,Missouri,Future
2023,73269.8046875,146334.21875,New Mexico,Future
2023,182995.8125,305527.90625,Oklahoma,Future
2023,2557322.5,2876430.5,Texas,Future
2022,152011.4375,246098.015625,Arkansas,Future
2022,231560.34375,297288.9375,Colorado,Future
2022,240626.484375,346632.6875,Kansas,Future
2022,329385.375,336240.9375,Missouri,Future
2022,71596.9140625,143181.078125,New Mexico,Future
2022,177812.984375,295796.0,Oklahoma,Future
2022,2498725.25,2823901.75,Texas,Future
2020,144304.4375,238143.953125,Arkansas,Past
2020,220852.609375,290550.4375,Colorado,Past
2020,229358.484375,348183.46875,Kansas,Past
2020,311561.5,329551.625,Missouri,Past
2020,68360.3125,135297.65625,New Mexico,Past
2020,169636.21875,289547.375,Oklahoma,Past
2020,2359567.5,2748822.75,Texas,Past
2018,153577.71875,235483.34375,Arkansas,Past
2018,213255.578125,339883.25,Colorado,Past
2018,263407.0625,336603.15625,Kansas,Past
2018,283361.375,301377.96875,Missouri,Past
2018,99096.2421875,150555.578125,New Mexico,Past
2018,239046.734375,395684.15625,Oklahoma,Past
2018,2798885.0,2763224.75,Texas,Past
2017,144262.796875,238803.171875,Arkansas,Past
2017,216312.359375,292338.5625,Colorado,Past
2017,233445.5625,350368.8125,Kansas,Past
2017,316403.5,334720.46875,Missouri,Past
2017,68408.578125,137396.625,New Mexico,Past
2017,174703.796875,308414.78125,Oklahoma,Past
2017,2315263.0,2709466.0,Texas,Past
2016,146981.21875,226112.359375,Arkansas,Past
2016,202657.515625,319826.0625,Colorado,Past
2016,262143.328125,355195.84375,Kansas,Past
2016,278140.09375,297815.21875,Missouri,Past
2016,86069.796875,128701.734375,New Mexico,Past
2016,226998.953125,368336.4375,Oklahoma,Past
2016,2596730.75,2549917.75,Texas,Past
2015,147210.15625,225305.515625,Arkansas,Past
2015,202509.625,317582.5625,Colorado,Past
2015,255259.78125,323193.625,Kansas,Past
2015,276837.375,286258.1875,Missouri,Past
2015,88553.1015625,140746.390625,New Mexico,Past
2015,227328.453125,369025.8125,Oklahoma,Past
2015,2641214.0,2581398.0,Texas,Past
2014,151099.65625,240785.6875,Arkansas,Past
2014,202559.828125,323654.90625,Colorado,Past
2014,255913.125,310535.96875,Kansas,Past
2014,286106.1875,309522.25,Missouri,Past
2014,85557.71875,137834.65625,New Mexico,Past
2014,226916.609375,363365.4375,Oklahoma,Past
2014,2628985.5,2542447.25,Texas,Past
2013,150788.328125,238569.546875,Arkansas,Past
2013,197343.640625,305559.75,Colorado,Past
2013,252782.234375,306387.25,Kansas,Past
2013,277608.15625,293630.5,Missouri,Past
2013,80434.4296875,125449.9296875,New Mexico,Past
2013,218069.65625,342618.34375,Oklahoma,Past
2013,2548089.25,2417962.5,Texas,Past
2012,149442.6875,237889.140625,Arkansas,Past
2012,196777.140625,299318.03125,Colorado,Past
2012,243873.46875,285584.625,Kansas,Past
2012,274323.46875,271454.53125,Missouri,Past
2012,80230.8984375,127622.03125,New Mexico,Past
2012,215700.203125,344951.875,Oklahoma,Past
2012,2495477.25,2353988.0,Texas,Past
2020,144304.4375,238143.953125,Arkansas,Future
2020,220852.609375,290550.4375,Colorado,Future
2020,229358.484375,348183.46875,Kansas,Future
2020,311561.5,329551.625,Missouri,Future
2020,68360.3125,135297.65625,New Mexico,Future
2020,169636.21875,289547.375,Oklahoma,Future
2020,2359567.5,2748822.75,Texas,Future
